exp_time,servo_time,baseline_time,sync_time,offset
2.86102294921875e-06,1768694111.1496563,1768694111.1496563,,
0.10007882118225098,1768694111.2497623,1768694111.2497623,,
0.20011281967163086,1768694111.3498263,1768694111.3498263,,
0.3000752925872803,1768694111.4498188,1768694111.4498188,,
0.40007686614990234,1768694111.5498505,1768694111.5498505,,
0.5000717639923096,1768694111.6498754,1768694111.6498754,,
0.6000869274139404,1768694111.7499206,1768694111.7499206,,
0.7000727653503418,1768694111.8499365,1768694111.8499365,,
0.8001024723052979,1768694111.9499962,1768694111.9499962,,
0.9000990390777588,1768694112.0500228,1768694112.0500228,,
1.000072717666626,1768694112.1500266,1768694112.1500266,,
1.1001999378204346,1768694112.2501838,1768694112.2501838,,
1.2000782489776611,1768694112.3500922,1768694112.3500922,,
1.30007004737854,1768694112.450114,1768694112.450114,,
1.400115728378296,1768694112.5501897,1768694112.5501897,,
1.5003259181976318,1768694112.65043,1768694112.65043,,
1.6000957489013672,1768694112.7502298,1768694112.7502298,,
1.7000699043273926,1768694112.850234,1768694112.850234,,
1.8000686168670654,1768694112.9502628,1768694112.9502628,,
1.9000945091247559,1768694113.0503187,1768694113.0503187,,
2.0000927448272705,1768694113.150347,1768694113.150347,,
2.100104808807373,1768694113.250389,1768694113.250389,,
2.200085401535034,1768694113.3503997,1768694113.3503997,,
2.300096273422241,1768694113.4504406,1768694113.4504406,,
2.400099515914917,1768694113.550474,1768694113.550474,,
2.5002808570861816,1768694113.6506853,1768694113.6506853,,
2.6001079082489014,1768694113.7505424,1768694113.7505424,,
2.7000787258148193,1768694113.8505433,1768694113.8505433,,
2.800100326538086,1768694113.950595,1768694113.950595,,
2.900099515914917,1768694114.0506241,1768694114.0506241,,
3.000077724456787,1768694114.1506324,1768694114.1506324,,
3.1000993251800537,1768694114.250684,1768694114.250684,,
3.2000954151153564,1768694114.3507102,1768694114.3507102,,
3.300114870071411,1768694114.4507596,1768694114.4507596,,
3.4000985622406006,1768694114.5507734,1768694114.5507734,,
3.500098705291748,1768694114.6508036,1768694114.6508036,,
3.6000828742980957,1768694114.7508178,1768694114.7508178,,
3.700068950653076,1768694114.850834,1768694114.850834,,
3.800314426422119,1768694114.9511094,1768694114.9511094,,
3.900320529937744,1768694115.0511456,1768694115.0511456,,
4.000091314315796,1768694115.1509464,1768694115.1509464,,
4.100090980529785,1768694115.250976,1768694115.250976,,
4.200089931488037,1768694115.351005,1768694115.351005,,
