exp_time,servo_time,baseline_time,sync_time,offset
2.86102294921875e-06,1769277199.3231537,1769277199.3231537,,
0.10007929801940918,1769277199.4232602,1769277199.4232602,,
0.20007681846618652,1769277199.5232878,1769277199.5232878,,
0.30007386207580566,1769277199.6233149,1769277199.6233149,,
0.4000542163848877,1769277199.7233253,1769277199.7233253,,
0.5000340938568115,1769277199.8233352,1769277199.8233352,,
0.6000304222106934,1769277199.9233615,1769277199.9233615,,
0.7000682353973389,1769277200.0234294,1769277200.0234294,,
0.800041913986206,1769277200.123433,1769277200.123433,,
0.9000725746154785,1769277200.2234938,1769277200.2234938,,
1.0000550746917725,1769277200.3235064,1769277200.3235064,,
1.1000761985778809,1769277200.4235575,1769277200.4235575,,
1.2000553607940674,1769277200.5235667,1769277200.5235667,,
1.3000319004058838,1769277200.6235733,1769277200.6235733,,
1.4000718593597412,1769277200.7236433,1769277200.7236433,,
1.500098466873169,1769277200.8237,1769277200.8237,,
1.6000750064849854,1769277200.9237065,1769277200.9237065,,
1.7000970840454102,1769277201.0237586,1769277201.0237586,,
1.8000905513763428,1769277201.1237822,1769277201.1237822,,
1.9000744819641113,1769277201.2237961,1769277201.2237961,,
2.0000877380371094,1769277201.3238394,1769277201.3238394,,
2.100069046020508,1769277201.4238508,1769277201.4238508,,
2.2000443935394287,1769277201.5238562,1769277201.5238562,,
2.300074815750122,1769277201.6239166,1769277201.6239166,,
2.4000580310821533,1769277201.72393,1769277201.72393,,
2.5000338554382324,1769277201.8239357,1769277201.8239357,,
2.600062847137451,1769277201.9239948,1769277201.9239948,,
2.7000370025634766,1769277202.023999,1769277202.023999,,
2.8000833988189697,1769277202.1240754,1769277202.1240754,,
2.90004825592041,1769277202.2240703,1769277202.2240703,,
3.0001142024993896,1769277202.3241663,1769277202.3241663,,
3.100093126296997,1769277202.4241753,1769277202.4241753,,
3.200045585632324,1769277202.5241578,1769277202.5241578,,
3.3000216484069824,1769277202.6241639,1769277202.6241639,,
3.400057077407837,1769277202.7242293,1769277202.7242293,,
3.5000317096710205,1769277202.824234,1769277202.824234,,
3.6000683307647705,1769277202.9243007,1769277202.9243007,,
3.700045108795166,1769277203.0243075,1769277203.0243075,,
3.8000874519348145,1769277203.1243799,1769277203.1243799,,
3.9000728130340576,1769277203.2243953,1769277203.2243953,,
4.000053644180298,1769277203.3244061,1769277203.3244061,,
4.10006856918335,1769277203.424451,1769277203.424451,,
4.200048446655273,1769277203.524461,1769277203.524461,,
4.300021409988403,1769277203.624464,1769277203.624464,,
4.400057792663574,1769277203.7245305,1769277203.7245305,,
4.500032663345337,1769277203.8245354,1769277203.8245354,,
4.600067853927612,1769277203.9246006,1769277203.9246006,,
4.700046539306641,1769277204.0246093,1769277204.0246093,,
4.8000195026397705,1769277204.1246123,1769277204.1246123,,
4.9000563621521,1769277204.2246792,1769277204.2246792,,
5.0000317096710205,1769277204.232573,1769277204.3246846,5.0000317096710205,-17.89027166366577
5.100065469741821,1769277204.2404714,1769277204.4247484,,
5.200042486190796,1769277204.2483654,1769277204.5247555,,
5.300030708312988,1769277204.2562602,1769277204.6247737,,
5.400071382522583,1769277204.2641592,1769277204.7248445,,
5.500094413757324,1769277204.2720568,1769277204.8248975,,
5.600092887878418,1769277204.2799525,1769277204.924926,,
5.700095176696777,1769277204.2878485,1769277205.0249584,,
5.800067901611328,1769277204.295742,1769277205.1249611,,
5.9000489711761475,1769277204.3036363,1769277205.2249722,,
6.000028848648071,1769277204.3115306,1769277205.3249822,,
6.100059270858765,1769277204.3194287,1769277205.4250426,,
6.2000672817230225,1769277204.327325,1769277205.5250807,,
6.300069093704224,1769277204.335221,1769277205.6251125,,
6.400068759918213,1769277204.3431168,1769277205.7251422,,
6.5000901222229,1769277204.3510141,1769277205.8251936,,
6.600093841552734,1769277204.35891,1769277205.9252274,,
6.7000463008880615,1769277204.366802,1769277206.02521,,
6.800025939941406,1769277204.374696,1769277206.1252196,,
6.9000701904296875,1769277204.3825953,1769277206.2252939,,
7.000077724456787,1769277204.3904917,1769277206.3253314,,
